gender,age,under_30,senior_citizen,partner,dependents,number_of_dependents,married,total_population,phone_service_x,internet_service_x,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,internet_type,contract,paperless_billing,payment_method,monthly_ charges,avg_monthly_long_distance_charges,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,tenure,multiple_lines,avg_monthly_gb_download,unlimited_data,offer,referred_a_friend,number_of_referrals,satisfaction_score,cltv,churn_value
Male,38,No,No,Yes,Yes,2,Yes,37887,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Fiber Optic,Month-to-Month,No,Electronic check,89.85,33.3,248.4,0.0,0,99.9,348.3,3,No,12,Yes,Offer E,Yes,1,3,4648,0
Male,22,Yes,No,No,No,0,No,74232,Yes,Yes,No,No,No,No,No,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,84.75,43.97,3050.15,0.0,0,1582.92,4633.07,36,Yes,42,Yes,Offer C,No,0,3,5272,1
Female,53,No,No,Yes,No,0,Yes,45499,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,95.6,49.63,4783.5,0.0,0,2431.87,7215.37,49,Yes,9,Yes,No Offer,Yes,2,1,5732,1
Female,54,No,No,No,No,0,No,9210,Yes,Yes,No,No,No,No,No,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,79.3,19.21,523.15,0.0,10,134.47,667.62,7,No,16,No,No Offer,No,0,1,3830,1
Female,38,No,No,Yes,No,0,Yes,2633,Yes,Yes,No,No,No,No,No,No,No,DSL,Month-to-Month,Yes,Electronic check,45.0,15.5,89.75,0.0,0,31.0,120.75,2,No,12,Yes,Offer E,Yes,8,4,5225,0
Male,64,No,No,Yes,Yes,2,Yes,23559,Yes,Yes,No,No,Yes,No,Yes,No,No,Fiber Optic,Month-to-Month,No,Electronic check,85.45,3.18,2289.9,0.0,0,89.04,2378.94,28,No,12,Yes,No Offer,Yes,6,3,4022,0
Male,54,No,No,No,No,0,No,31180,Yes,Yes,No,Yes,No,No,No,No,No,DSL,Month-to-Month,Yes,Credit card (automatic),55.5,18.48,767.55,0.0,0,258.72,1026.27,14,Yes,21,Yes,Offer D,No,0,4,3520,0
Female,61,No,No,No,No,0,No,74232,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic,One Year,No,Mailed check,95.5,34.81,1115.15,0.0,0,417.72,1532.87,12,No,16,Yes,No Offer,No,0,2,3538,1
Male,22,Yes,No,No,No,0,No,809,No,Yes,No,No,No,No,No,No,No,DSL,Month-to-Month,Yes,Credit card (automatic),24.9,0.0,49.7,0.0,10,0.0,59.7,2,No,48,No,No Offer,No,0,3,4033,0
Male,57,No,No,Yes,Yes,1,Yes,3577,Yes,Yes,No,Yes,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,80.15,11.54,385.0,0.0,0,57.7,442.7,5,Yes,19,Yes,No Offer,Yes,1,1,5124,1
